	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
ASCL2_89	17.2897574905607	18.244	1.16446790409776	0.0871932606722828	218182	19024	0.101533753506503	27449	2787	ASCL2_89
GCM2_389	16.5078574905607	17.4621	1.39403394007153	0.0165687361927198	218182	3615	0.0230973805967431	27449	634	GCM2_389
CXXC1_303	15.9356574905607	16.8899	1.37350713721179	0.0176916519236234	218182	3860	0.0242996101861634	27449	667	CXXC1_303
REL_721	15.8219574905607	16.7762	1.20143831710172	0.0555820370149692	218182	12127	0.0667783890123502	27449	1833	REL_721
TCF4_97	15.6861574905607	16.6404	1.13542627629906	0.112429072975773	218182	24530	0.127654923676637	27449	3504	TCF4_97
HINFP_245	15.5407574905607	16.495	1.57102373814111	0.00779166017361652	218182	1700	0.0122408830922802	27449	336	HINFP_245
CGBP_298	15.3342574905607	16.2885	1.48009009812555	0.0106333244722296	218182	2320	0.0157382782615032	27449	432	CGBP_298
HEYL_65	15.1795574905607	16.1338	1.27960931954247	0.0290399758000202	218182	6336	0.0371598236729936	27449	1020	HEYL_65
NFKB1_719	14.7779574905607	15.7322	1.15311439502791	0.0857770118524901	218182	18715	0.0989107071295858	27449	2715	NFKB1_719
RFX4_725	13.9456574905607	14.8999	1.20470739963318	0.0478407934660054	218182	10438	0.0576341578928194	27449	1582	RFX4_725
GABPA_338	13.9381574905607	14.8924	1.20659257455005	0.047011210823991	218182	10257	0.0567233779008343	27449	1557	GABPA_338
NPAS2_72	13.4721574905607	14.4264	1.24850580942992	0.0322437231302307	218182	7035	0.040256475645743	27449	1105	NPAS2_72
KLF3_184	13.3261574905607	14.2804	1.1436760647681	0.0874086771594357	218182	19071	0.0999672119202885	27449	2744	KLF3_184
ELK4_341	13.0703574905607	14.0246	1.18566643216614	0.0538632884472596	218182	11752	0.0638638930379977	27449	1753	ELK4_341
TFCP2_392	12.8353574905607	13.7896	1.1517755378247	0.0765141029049142	218182	16694	0.0881270720244818	27449	2419	TFCP2_392
HEY2_54	12.7434574905607	13.6977	1.27608317853737	0.0250662291114757	218182	5469	0.031986593318518	27449	878	HEY2_54
MYCL1_37	12.3661574905607	13.3204	1.23932744963339	0.0318358068034943	218182	6946	0.0394549892527961	27449	1083	MYCL1_37
E2F1_312	12.1812574905607	13.1355	1.49092984565315	0.00811249323958897	218182	1770	0.0120951582935626	27449	332	E2F1_312
