baitID	preyID	N
252022	251951	8
252022	251959	8
252022	251998	8
252022	251950	8
252022	251999	8
255348	255384	8
280227	280240	8
436209	436203	8
436209	436219	8
436209	436201	8
436209	436190	8
465996	466018	8
465996	466040	8
465996	466008	8
465996	466035	8
465996	466027	8
608973	608886	8
608973	608851	8
608973	608914	8
608973	608896	8
608973	608946	8
608973	608996	8
608973	609001	8
608973	608989	8
608973	609871	8
608973	608891	8
608973	608861	8
608973	608993	8
608973	609006	8
608973	608879	8
608973	608865	8
608973	608860	8
608973	608960	8
608973	608890	8
608973	609043	8
608973	608949	8
613959	613937	8
613959	613940	8
658107	658076	8
711801	711794	8
754400	754363	8
754400	754462	8
754400	754370	8
754400	754385	8
754400	754448	8
754400	754457	8
754400	754446	8
754400	754477	8
754400	754493	8
754400	754459	8
754400	754383	8
754400	754452	8
754400	754479	8
754400	754374	8
754400	754384	8
754400	754376	8
754400	754481	8
777254	777271	8
777254	777261	8
777254	777266	8
52174	52212	7
52174	52194	7
52174	52053	7
67868	68068	7
67868	67912	7
67868	68061	7
67868	67991	7
67868	67858	7
67868	67899	7
67868	67911	7
67868	67933	7
67868	67834	7
96744	96725	7
96744	96684	7
96744	96821	7
96744	96870	7
96744	96894	7
96744	96877	7
96744	96925	7
96744	96814	7
96744	96830	7
96744	96723	7
96744	96928	7
96744	96931	7
96744	96620	7
116442	116521	7
116442	116333	7
116442	116486	7
116442	116365	7
116442	116364	7
116442	116355	7
116442	116339	7
116442	116418	7
116442	116357	7
116442	116329	7
116442	116480	7
116442	116383	7
116442	116423	7
116442	116517	7
116442	116481	7
116442	116331	7
116442	116509	7
116442	116323	7
116442	116341	7
116442	116373	7
116442	116327	7
122846	122835	7
122846	122836	7
122846	122946	7
122846	122945	7
122846	122827	7
158037	158110	7
234583	234710	7
234583	234691	7
234583	234731	7
234583	234545	7
234583	234526	7
234583	234732	7
234583	234853	7
234583	234726	7
234583	234640	7
234583	234615	7
234583	234849	7
234583	234727	7
234583	234664	7
234583	234627	7
252022	252055	7
252022	251981	7
252022	251987	7
252022	251955	7
252022	251962	7
252022	251943	7
252022	251983	7
252022	251975	7
255348	255354	7
255348	255355	7
255348	255362	7
255348	255394	7
255348	255388	7
255348	255373	7
255348	255379	7
255348	255365	7
436209	436241	7
436209	436218	7
436209	436235	7
436209	436301	7
436209	436217	7
436209	436200	7
436209	436221	7
465996	465962	7
465996	465956	7
465996	465955	7
465996	465930	7
465996	466022	7
465996	465980	7
485207	485167	7
577412	577356	7
608973	609255	7
608973	608858	7
608973	609071	7
608973	608932	7
608973	609161	7
608973	608875	7
608973	608854	7
608973	609040	7
608973	609242	7
608973	609049	7
608973	608907	7
608973	609044	7
608973	609408	7
608973	609030	7
608973	608867	7
608973	609018	7
608973	609037	7
608973	609053	7
608973	609019	7
608973	610127	7
613959	613964	7
613959	613956	7
613959	613970	7
658107	658126	7
754400	754433	7
754400	754427	7
754400	754461	7
754400	754417	7
754400	754443	7
754400	754455	7
754400	754375	7
754400	754484	7
754400	754522	7
754400	754359	7
777254	777209	7
777254	777269	7
52174	52159	6
52174	52137	6
52174	52131	6
52174	52196	6
52174	52099	6
52174	52190	6
52174	52218	6
52174	52193	6
67868	67846	6
67868	67832	6
67868	67844	6
67868	67935	6
67868	67901	6
67868	67861	6
67868	67859	6
67868	67900	6
67868	67961	6
96744	96616	6
96744	96843	6
96744	96852	6
96744	96826	6
96744	96917	6
96744	96879	6
96744	96836	6
96744	96908	6
96744	96909	6
96744	96851	6
96744	96890	6
96744	96867	6
96744	96875	6
96744	96674	6
96744	96618	6
96744	96819	6
96744	96897	6
96744	96871	6
96744	96663	6
96744	96816	6
96744	96619	6
96744	96631	6
96744	96946	6
96744	96918	6
96744	96651	6
96744	96927	6
96744	96817	6
116442	116514	6
116442	116421	6
116442	116349	6
116442	116477	6
116442	116539	6
116442	116336	6
116442	116362	6
116442	116425	6
116442	116472	6
116442	116491	6
116442	116370	6
116442	116510	6
116442	116353	6
116442	116479	6
116442	116474	6
116442	116306	6
116442	116469	6
116442	116359	6
116442	116360	6
116442	116318	6
122846	122856	6
122846	122874	6
122846	122955	6
122846	122894	6
158037	158089	6
158037	158103	6
158037	158115	6
158037	158111	6
234583	234743	6
234583	234770	6
234583	234501	6
234583	234543	6
234583	234663	6
234583	234850	6
234583	234525	6
234583	234667	6
234583	234755	6
234583	234782	6
234583	234678	6
234583	234684	6
234583	234758	6
234583	234680	6
234583	234772	6
234583	234676	6
234583	234708	6
234583	234711	6
234583	234863	6
250237	250249	6
250237	250239	6
252022	251897	6
252022	251934	6
252022	251928	6
252022	251954	6
252022	251982	6
252022	251905	6
252022	251978	6
252022	251979	6
252022	251953	6
252022	252039	6
252022	251939	6
252022	251977	6
252022	251937	6
252022	251949	6
252022	251915	6
252022	252017	6
252022	252019	6
252022	252008	6
255348	255382	6
255348	255374	6
255348	255361	6
255348	255363	6
255348	255386	6
280227	280199	6
280227	280250	6
280227	280265	6
280227	280242	6
280227	280235	6
436209	436419	6
436209	436423	6
436209	436372	6
436209	436199	6
436209	436011	6
436209	436343	6
436209	436272	6
436209	436212	6
436209	436320	6
436209	436216	6
465996	465872	6
465996	465865	6
465996	465946	6
465996	466024	6
465996	465964	6
465996	466039	6
465996	465953	6
485207	485209	6
608973	608871	6
608973	608853	6
608973	609074	6
608973	608888	6
608973	608922	6
608973	608873	6
608973	608952	6
608973	609058	6
608973	609083	6
608973	609281	6
608973	609366	6
608973	609116	6
608973	609036	6
608973	609692	6
608973	609870	6
608973	608878	6
608973	608893	6
608973	608840	6
608973	608856	6
608973	608872	6
608973	609050	6
608973	608859	6
608973	608921	6
608973	608892	6
608973	609026	6
613959	613932	6
613959	613898	6
613959	613939	6
613959	613867	6
613959	613942	6
613959	613946	6
667136	667141	6
667136	667131	6
711801	711793	6
711801	711803	6
754400	754499	6
754400	754503	6
754400	754512	6
754400	754432	6
754400	754439	6
754400	754437	6
754400	754349	6
754400	754520	6
754400	754354	6
754400	754364	6
754400	754497	6
777250	777267	6
777249	777253	6
777254	777262	6
777254	777260	6
777254	777273	6
777254	777268	6
52174	52113	5
52174	52078	5
52174	52156	5
52174	52189	5
